Symbol,FDR,AUC.ctrl
Rpl39,6.63e-116,0.224
Rps29,2.44e-107,0.234
Rps21,1.23e-105,0.237
Rps28, 1.38e-93,0.252
mt-Nd4, 8.41e-91,0.256
Rps12, 4.20e-84,0.265
Rpl37a, 2.29e-80,0.270
Rpl35a, 9.47e-80,0.271
mt-Co2, 4.14e-70,0.285
mt-Co3, 8.53e-70,0.286
Rplp1, 1.46e-69,0.286
Rpl41, 5.81e-63,0.296
mt-Cytb, 1.36e-57,0.305
H2afv, 1.12e-55,0.308
Rpl37, 9.08e-54,0.312
Papola, 9.25e-53,0.313
Eef1a1, 5.09e-52,0.315
mt-Atp6, 8.43e-52,0.315
Rps27rt, 9.67e-47,0.324
Hmgb2, 1.16e-46,0.324
Oxct1, 2.36e-45,0.330
Tomm7, 1.32e-42,0.332
Rpl7a, 4.95e-42,0.333
