Symbol,FDR,AUC.ctrl
Uba52,1.51e-232,0.878
Rpl39,1.08e-174,0.828
Rps28,8.75e-171,0.824
Rps29,1.59e-166,0.820
Rps27,1.68e-151,0.806
Gm10076,7.84e-142,0.796
Rpl35,1.52e-112,0.764
Rps15a,3.33e-107,0.757
Rpl37a,6.76e-104,0.753
Rpl15,6.28e-100,0.748
Rpl38, 1.98e-97,0.745
Rpl32, 3.69e-95,0.742
Rpl37, 4.15e-95,0.742
Rpl36, 4.11e-90,0.736
Rpl27, 1.69e-71,0.711
Fau, 6.05e-69,0.707
Rps21, 7.16e-69,0.707
Rplp2, 1.10e-68,0.706
Ifitm1, 4.37e-67,0.703
Rpl18a, 4.58e-66,0.702
mt-Co1, 4.72e-63,0.698
Rps9, 4.86e-63,0.698
Rps24, 4.09e-61,0.695
Rps27rt, 5.01e-57,0.688
Plac8, 5.26e-56,0.686
Rpl41, 2.42e-55,0.685
Rpl26, 9.41e-54,0.683
Hspa8, 1.27e-53,0.682
Rps18, 5.80e-53,0.681
Rps14, 1.31e-52,0.681
Rpl34, 6.08e-50,0.676
Rps26, 7.40e-49,0.674
Rps27a, 5.01e-48,0.673
Rpl10a, 1.63e-47,0.672
Gm9843, 2.39e-47,0.672
Rps5, 1.70e-46,0.670
Rpl6, 2.36e-45,0.668
