Symbol,FDR,AUC.ctrl
Ifitm1, 0.00e+00,0.999
Ldha, 0.00e+00,0.931
Ifitm3, 0.00e+00,0.926
Erh, 0.00e+00,0.916
Rbm3, 0.00e+00,0.913
Ncl, 0.00e+00,0.911
Pim1, 0.00e+00,0.903
Hspe1, 0.00e+00,0.902
Tomm5, 0.00e+00,0.899
Dnaja1, 0.00e+00,0.890
Mt1, 0.00e+00,0.883
Tomm20, 0.00e+00,0.886
Nme1, 0.00e+00,0.883
Timm13, 0.00e+00,0.883
Nhp2, 0.00e+00,0.878
Srsf7, 0.00e+00,0.874
Ran, 0.00e+00,0.874
Cacybp, 0.00e+00,0.874
Snu13, 0.00e+00,0.873
Eif5a, 0.00e+00,0.872
Hspa8, 0.00e+00,0.871
Hspd1, 0.00e+00,0.869
Timm8a1, 0.00e+00,0.868
Npm1, 0.00e+00,0.867
Mrpl20, 0.00e+00,0.865
Rsl1d1, 0.00e+00,0.860
Hsp90aa1, 0.00e+00,0.859
Mif, 0.00e+00,0.856
Ndufab1, 0.00e+00,0.855
Dnaja2, 0.00e+00,0.855
Lrrc59, 0.00e+00,0.855
Ppp1r14b, 0.00e+00,0.855
Phb, 0.00e+00,0.851
Eef1d, 0.00e+00,0.851
Mrto4, 0.00e+00,0.850
Mrpl12, 0.00e+00,0.849
Rps6ka3, 0.00e+00,0.852
Ddx39, 0.00e+00,0.844
Dynll1,9.21e-321,0.839
Ms4a3,1.55e-315,0.836
Ebna1bp2,2.11e-313,0.835
Nolc1,3.35e-312,0.835
Tomm40,1.59e-307,0.832
Cdv3,2.41e-307,0.832
Id1,2.84e-304,0.835
Pa2g4,1.19e-303,0.830
Snrpd1,2.28e-303,0.830
Vdac2,3.65e-301,0.829
Set,4.42e-298,0.827
Odc1,7.85e-293,0.824
Nip7,1.37e-289,0.822
Lyar,2.05e-289,0.822
Eef1e1,3.09e-289,0.822
Ppa1,8.52e-289,0.822
Ranbp1,7.86e-288,0.821
Eif2s2,8.97e-288,0.821
Srm,5.19e-284,0.819
Uqcrq,1.10e-283,0.819
Manf,1.16e-283,0.819
Psma3,2.45e-283,0.819
C1qbp,1.28e-273,0.813
H2afz,1.60e-273,0.813
Sssca1,3.34e-273,0.813
Mrps24,4.44e-269,0.811
Hspa5,1.72e-265,0.809
Tfrc,2.09e-263,0.812
Hnrnpab,2.96e-258,0.804
Dut,1.57e-257,0.804
Uchl5,2.13e-255,0.803
Pno1,9.76e-255,0.802
Ybx3,1.05e-253,0.802
Tmem147,1.78e-250,0.800
Gspt1,1.94e-250,0.800
Cnbp,7.99e-250,0.799
Emg1,1.17e-245,0.797
Hspa9,8.52e-245,0.796
Cct3,1.26e-244,0.796
Timm17a,7.96e-244,0.796
Eif6,1.10e-242,0.795
Cct8,1.50e-239,0.793
Dnajc2,2.20e-237,0.792
Gatm,6.29e-237,0.791
Ptges3,7.52e-237,0.792
Junb,3.43e-236,0.790
Sumo2,4.22e-234,0.790
Btf3,7.63e-233,0.789
Ppid,1.78e-232,0.789
