Symbol,FDR,AUC.ctrl
Rbm3, 0.00e+00,0.935
Slc25a5,3.29e-261,0.871
Cfl1,1.91e-239,0.856
Ran,9.09e-239,0.855
Eif5a,2.63e-236,0.853
Nme1,6.51e-236,0.853
Sec61b,3.22e-226,0.846
Gapdh,2.65e-217,0.839
Sh3bgrl3,6.43e-216,0.838
Uqcrq,1.75e-215,0.837
Pfn1,1.79e-207,0.831
Tagln2,2.32e-205,0.829
Cox5a,8.72e-198,0.823
Hspa8,9.39e-197,0.822
H2afj,9.51e-194,0.820
Dynll1,3.58e-191,0.817
Ranbp1,2.88e-186,0.813
Ldha,1.96e-182,0.810
Srsf7,1.98e-181,0.809
Atp5f1,9.28e-180,0.808
Atp5g1,2.97e-179,0.807
Eif4a1,6.68e-178,0.806
Ssr4,8.81e-178,0.806
Cdk6,9.02e-177,0.804
Cycs,3.26e-173,0.801
Set,2.43e-172,0.801
Ptma,7.62e-172,0.801
Chchd2,1.17e-170,0.800
Dnaja1,1.17e-170,0.800
Ppp1r14b,6.59e-170,0.799
Pa2g4,5.32e-169,0.798
Nop10,8.58e-166,0.796
Rps6ka3,1.96e-163,0.789
Rps27l,5.52e-162,0.792
Rpl36al,1.01e-160,0.791
Ncl,2.48e-160,0.791
Nhp2,3.86e-159,0.789
Hnrnpf,7.58e-159,0.789
Rpl41,4.36e-157,0.788
Ptges3,5.92e-157,0.788
Hint1,7.42e-155,0.786
Snrpd1,4.87e-154,0.785
Atp5l,1.39e-153,0.784
Srm,1.95e-153,0.781
Snrpf,8.66e-153,0.784
Erh,7.54e-151,0.782
Ppia,1.08e-150,0.782
Vldlr,8.32e-150,0.790
Ifitm2,6.94e-148,0.779
Socs3,4.32e-147,0.787
Cox6c,4.64e-147,0.778
Srsf3,4.64e-147,0.778
Psmb5,1.09e-146,0.778
Gpx1,1.18e-145,0.777
Serpinb1a,3.08e-145,0.771
Park7,3.33e-144,0.776
Mif,3.23e-142,0.774
Anp32b,2.46e-141,0.773
Actg1,8.44e-141,0.772
Atp5e,1.41e-139,0.771
Btf3,1.42e-137,0.769
Atpif1,1.46e-136,0.768
Hsp90aa1,2.50e-136,0.768
Sumo2,1.14e-134,0.766
Cd53,3.33e-134,0.774
Tmem14c,1.68e-132,0.764
Junb,1.93e-132,0.757
H2afz,2.48e-132,0.764
Hspe1,6.87e-132,0.764
Ybx1,5.00e-131,0.763
Cox6b1,1.16e-130,0.762
Psmb3,5.72e-130,0.762
Elob,1.07e-128,0.760
Fut8,3.32e-128,0.760
C1qbp,1.55e-127,0.759
Rps17,9.03e-126,0.757
Npm1,1.71e-125,0.757
Alyref,2.63e-125,0.757
Mrpl12,6.30e-125,0.756
Cox5b,2.52e-124,0.756
Serbp1,1.49e-123,0.755
Sem1,1.82e-123,0.755
Timm13,6.11e-123,0.754
Hprt,1.07e-122,0.754
Uqcr10,1.06e-121,0.753
Ybx3,2.03e-121,0.753
Mrpl20,4.42e-121,0.752
Dctpp1,5.00e-121,0.752
Prdx1,6.24e-119,0.750
Atp5g2,5.49e-118,0.749
Taf10,6.06e-118,0.749
Ctla2a,7.32e-117,0.748
Pkm,1.67e-116,0.748
Uqcr11,1.94e-116,0.748
Ndufa4,7.51e-116,0.747
Snrpd3,8.22e-116,0.747
Ddx39,9.48e-115,0.742
Atp5b,2.27e-113,0.744
Snrpd2,2.63e-113,0.744
Fbl,6.73e-112,0.743
H2afy,1.25e-111,0.742
Eif2s1,1.92e-111,0.742
Ndufab1,2.74e-111,0.742
Srsf2,5.94e-111,0.742
Cct8,6.71e-111,0.742
Pim1,5.82e-110,0.741
Rpl22l1,1.54e-109,0.740
Cacybp,5.92e-109,0.739
Etfb,7.04e-109,0.739
Uqcrb,1.09e-108,0.739
Uchl5,2.38e-105,0.733
Pgam1,2.73e-105,0.735
Higd1a,4.10e-105,0.734
Cdk4,7.21e-104,0.734
Hnrnpab,1.85e-103,0.733
Snrpe,4.15e-103,0.733
Taldo1,6.52e-103,0.733
Snrpb,3.09e-102,0.732
Hspd1,6.11e-101,0.730
Prmt1,6.32e-101,0.730
Nop58,8.60e-100,0.729
Hnrnpd, 7.85e-99,0.728
