Symbol,FDR,AUC.ctrl
Gm10076, 0.00e+00,0.112
Rps27rt,5.04e-322,0.143
Rps28,6.92e-268,0.174
Gm10263,2.97e-241,0.191
Rps29,1.10e-223,0.202
Gm10073,3.62e-204,0.215
Rpl36-ps3,7.39e-198,0.221
Rps26-ps1,4.82e-178,0.235
Trmt61a,8.01e-164,0.249
Rpl38,2.55e-162,0.246
Gm2000,1.79e-144,0.260
Wdr89,3.99e-143,0.261
Rps12-ps3,1.30e-135,0.268
Rpl23a-ps3,3.38e-113,0.288
Rpl41,4.23e-106,0.294
Rpl6,1.25e-102,0.298
Rps8,1.29e-102,0.298
Uba52,2.90e-101,0.299
Malat1, 4.44e-95,0.305
Slx1b, 1.57e-87,0.310
Gm11808, 1.72e-80,0.321
Gm8186, 2.16e-80,0.318
Ccnd2, 2.42e-76,0.323
Rpl36a, 1.20e-71,0.331
Gm6133, 3.30e-70,0.333
Txnip, 6.16e-68,0.333
