Symbol,FDR,AUC.ctrl
Ifitm1, 0.00e+00,0.969
Rbm3, 0.00e+00,0.928
Eif5a, 0.00e+00,0.919
Ldha, 0.00e+00,0.917
Nme1, 0.00e+00,0.903
Cox5a, 0.00e+00,0.887
Cacybp, 0.00e+00,0.882
Timm13, 0.00e+00,0.881
Srsf7, 0.00e+00,0.881
Slc25a5, 0.00e+00,0.878
Nhp2, 0.00e+00,0.876
Npm1, 0.00e+00,0.875
Ran, 0.00e+00,0.874
Tomm5, 0.00e+00,0.873
Hspe1, 0.00e+00,0.873
Dynll1, 0.00e+00,0.869
Atp5g1, 0.00e+00,0.868
Pgam1, 0.00e+00,0.867
Ppp1r14b, 0.00e+00,0.866
Uqcrq, 0.00e+00,0.866
Hspa8, 0.00e+00,0.865
Ncl, 0.00e+00,0.859
Cfl1, 0.00e+00,0.858
Rps27l, 0.00e+00,0.858
Pfn1, 0.00e+00,0.857
Btf3, 0.00e+00,0.856
Hspd1, 0.00e+00,0.853
Snu13, 0.00e+00,0.852
Mrpl12, 0.00e+00,0.851
Tspo, 0.00e+00,0.850
Mrpl20, 0.00e+00,0.849
Hsp90aa1, 0.00e+00,0.848
Srm, 0.00e+00,0.848
C1qbp, 0.00e+00,0.845
Tomm20, 0.00e+00,0.845
Pa2g4, 0.00e+00,0.844
Set, 0.00e+00,0.843
Park7, 0.00e+00,0.842
Timm8a1, 0.00e+00,0.839
Atp5f1, 0.00e+00,0.838
Ranbp1, 0.00e+00,0.838
H2afj, 0.00e+00,0.838
Ybx3, 0.00e+00,0.837
Chchd2, 0.00e+00,0.837
Snrpd1, 0.00e+00,0.836
Hspa5, 0.00e+00,0.834
Mif, 0.00e+00,0.834
Hint1, 0.00e+00,0.833
Ssr4, 0.00e+00,0.831
Cct8, 0.00e+00,0.830
Gapdh, 0.00e+00,0.829
Tmem14c, 0.00e+00,0.828
Ybx1, 0.00e+00,0.826
Aprt, 0.00e+00,0.825
Srsf3, 0.00e+00,0.822
Phb2, 0.00e+00,0.821
Cycs, 0.00e+00,0.818
Ndufab1, 0.00e+00,0.817
Nop10, 0.00e+00,0.816
