Symbol,FDR,AUC.ctrl
Hlf,9.31e-304,0.166
Gm19590,7.14e-300,0.166
Malat1,1.07e-262,0.190
Car2,1.31e-210,0.222
mt-Co1,1.35e-199,0.230
Angpt1,2.19e-188,0.237
Gimap6,7.92e-182,0.243
Adgrg1,1.84e-166,0.253
Itm2b,1.43e-163,0.255
Msi2,1.27e-150,0.265
Ltb,1.33e-146,0.269
Pnrc1,4.69e-145,0.270
mt-Co3,4.29e-140,0.274
Gimap1,1.78e-139,0.274
Lmo2,3.53e-138,0.275
Ypel3,7.44e-137,0.277
Rsrp1,1.18e-131,0.280
B2m,9.63e-130,0.282
Lyz2,8.80e-129,0.283
Zbtb20,2.36e-124,0.285
H2-T23,3.72e-123,0.288
H2-Q7,1.10e-115,0.294
Kit,4.28e-114,0.296
Shisa5,2.52e-103,0.306
Ogt,7.18e-103,0.306
Pfdn5,6.73e-101,0.308
mt-Atp6, 4.09e-97,0.312
Rps5, 2.59e-95,0.313
Aldh2, 1.00e-92,0.316
Lst1, 5.17e-92,0.317
Rpl21, 8.46e-88,0.321
Fam107b, 3.62e-86,0.324
Klhl24, 2.64e-85,0.322
Dapp1, 2.04e-83,0.325
Smpdl3a, 2.33e-83,0.324
Zfp608, 2.26e-81,0.327
Cd47, 2.56e-81,0.328
H2-D1, 2.94e-81,0.328
Arhgap45, 1.31e-80,0.329
H2afv, 4.34e-78,0.331
Rps9, 5.47e-78,0.331
H2-Q4, 2.51e-77,0.332
AW112010, 1.11e-76,0.333
Gstm1, 1.67e-76,0.332
