Symbol,FDR,AUC.ctrl
Ifitm1, 0.00e+00,0.955
Rpl41, 0.00e+00,0.952
Rbm3, 0.00e+00,0.928
Rps29, 0.00e+00,0.909
Rpl36al, 0.00e+00,0.908
Erh, 0.00e+00,0.889
Eif5a, 0.00e+00,0.871
Rpl27, 0.00e+00,0.868
Nme1, 0.00e+00,0.862
Slc25a5, 0.00e+00,0.856
Ran, 0.00e+00,0.853
Rpl35, 0.00e+00,0.853
Ptma, 0.00e+00,0.849
Cfl1, 0.00e+00,0.848
Mif, 0.00e+00,0.845
Uqcrq,3.23e-321,0.843
Ldha,2.38e-316,0.840
Snrpf,6.47e-312,0.838
Snrpg,7.71e-308,0.836
Atp5e,4.08e-305,0.835
Ifitm2,9.42e-297,0.830
Rps28,2.34e-293,0.828
Ncl,9.57e-290,0.826
Gm11808,5.89e-289,0.826
Ranbp1,8.94e-288,0.824
Eif4a1,1.01e-285,0.824
Set,1.19e-285,0.824
Cycs,1.12e-284,0.825
Atp5g1,6.10e-275,0.817
Usmg5,6.65e-271,0.815
Ppia,3.64e-266,0.812
Pfn1,1.37e-261,0.810
C1qbp,1.05e-259,0.808
Hspa8,1.65e-257,0.807
Cox5a,6.08e-252,0.804
Sec61b,1.13e-250,0.803
Srsf7,2.75e-250,0.803
Gapdh,3.17e-250,0.803
Pa2g4,9.79e-248,0.800
Atp5k,2.90e-247,0.799
Nop10,6.34e-245,0.800
Hspe1,7.80e-245,0.800
Cox6c,1.95e-244,0.799
Npm1,8.06e-244,0.799
Ppp1r14b,1.78e-242,0.798
Pim1,3.55e-241,0.797
Polr2l,2.99e-239,0.798
Hspd1,6.70e-238,0.795
Snrpd1,1.15e-237,0.795
Dynll1,1.93e-235,0.793
Bola2,6.85e-234,0.792
Ptges3,7.87e-230,0.790
Hsp90aa1,1.64e-229,0.790
Ybx1,2.44e-229,0.790
Rps27l,1.46e-225,0.787
Nhp2,4.51e-224,0.788
H2afj,5.00e-222,0.785
Cox7c,6.37e-220,0.784
Ssr4,2.64e-216,0.781
Srsf3,1.00e-209,0.777
Park7,1.21e-208,0.777
Snrpd3,6.35e-207,0.775
Dnaja1,3.31e-206,0.775
Timm13,3.84e-205,0.774
Rpl38,3.53e-204,0.774
Uqcr10,1.99e-203,0.773
Serbp1,3.47e-203,0.773
Pkm,1.54e-202,0.772
Sec61g,7.41e-202,0.772
Hnrnpf,6.60e-201,0.771
Tagln2,3.42e-200,0.771
Chchd2,1.99e-199,0.770
Atp5l,5.09e-199,0.770
Uqcr11,3.51e-198,0.769
Rps17,6.80e-197,0.769
Ifitm3,8.23e-195,0.767
Prdx1,6.24e-193,0.766
Hint1,1.53e-191,0.765
Cd53,1.68e-191,0.767
Actg1,7.05e-188,0.762
Tomm7,9.71e-188,0.762
Anp32b,1.28e-187,0.762
Srm,1.80e-187,0.764
Fbl,2.70e-187,0.761
2010107E04Rik,7.30e-184,0.760
Vldlr,2.14e-183,0.761
Socs3,5.07e-181,0.759
Rpl14,3.01e-180,0.757
Aprt,1.11e-178,0.755
Ybx3,2.76e-178,0.754
Cct8,1.16e-175,0.753
Ndufa1,1.82e-175,0.752
Sem1,3.14e-174,0.753
Cox5b,8.66e-174,0.752
Uqcc2,8.21e-172,0.752
Mrpl12,1.38e-171,0.752
Cacybp,1.38e-171,0.752
Hnrnpa3,1.05e-169,0.749
Psmb3,1.06e-169,0.749
Romo1,1.89e-169,0.749
Btf3,1.90e-169,0.749
Nop58,1.05e-167,0.749
Nme2,5.23e-167,0.749
Rps6ka3,8.70e-164,0.746
Snu13,4.77e-161,0.742
Atp5j2,1.56e-160,0.742
Phb,1.01e-159,0.743
Pgam1,3.40e-159,0.741
Mrpl52,4.42e-159,0.741
Hsp90ab1,1.74e-158,0.741
Snrpd2,6.27e-158,0.740
Prmt1,1.54e-155,0.738
Sh3bgrl3,3.17e-155,0.738
Srsf2,5.44e-155,0.738
Actb,5.74e-154,0.737
H2afz,4.77e-153,0.737
Ndufab1,6.05e-152,0.735
Rpl22l1,9.44e-152,0.736
Taf10,1.35e-151,0.735
Hnrnpd,1.99e-151,0.735
Tmsb10,2.59e-151,0.735
Tomm5,2.21e-150,0.734
Dctpp1,8.83e-150,0.736
Elob,3.22e-149,0.734
Cbx3,1.36e-148,0.733
Atp5f1,3.54e-147,0.732
Atp5g3,3.57e-147,0.732
Gnl3,5.38e-147,0.733
Psma7,6.46e-147,0.732
Hypk,4.89e-146,0.733
Pcbp1,9.87e-146,0.731
Snrpe,1.77e-145,0.731
Timm8a1,1.95e-145,0.732
Cnbp,2.07e-145,0.731
Ndufa12,3.44e-145,0.730
Psmb5,4.67e-145,0.730
Ppa1,8.80e-145,0.732
Hnrnpab,1.49e-144,0.729
Eif2s1,2.52e-142,0.730
Uqcrb,2.87e-141,0.727
Hnrnpa1,1.27e-140,0.727
Nop56,3.21e-138,0.726
Cdk4,1.06e-137,0.724
Cct3,1.19e-137,0.724
Alyref,1.34e-137,0.724
Tmem14c,2.77e-136,0.725
Hprt,3.69e-136,0.723
Eef1g,4.63e-133,0.721
U2af1,7.29e-133,0.720
S100a4,7.31e-132,0.721
Lsm7,1.22e-131,0.719
Pnp,1.72e-130,0.718
Sumo2,3.57e-130,0.718
Gpx1,4.73e-130,0.718
Mrpl20,2.53e-129,0.719
Apex1,8.98e-129,0.718
Cox6b1,1.07e-128,0.717
Pebp1,4.45e-127,0.716
Eif2s2,7.03e-127,0.715
Ndufb2,9.75e-127,0.715
Krtcap2,2.06e-126,0.715
Wfdc17,2.94e-125,0.715
Cdk6,1.24e-124,0.715
Rpl13a,1.51e-124,0.713
Rsl1d1,1.63e-124,0.713
Bzw2,2.63e-122,0.713
Nolc1,1.07e-120,0.711
Mrto4,9.68e-120,0.711
Atp5b,1.10e-119,0.709
Llph,3.60e-119,0.708
Pgls,5.80e-119,0.708
Nedd8,2.52e-117,0.707
Junb,3.10e-117,0.708
G3bp1,4.93e-117,0.707
Gstp1,1.67e-116,0.708
Snrpb,7.57e-116,0.706
Ddx21,1.87e-115,0.707
Mybbp1a,2.01e-115,0.707
Rbmxl1,2.03e-114,0.706
Psmb2,7.57e-114,0.704
Ddx39,4.46e-113,0.705
Psma2,5.73e-113,0.703
Psma3,9.05e-113,0.703
Cdca7,2.43e-112,0.704
Rbx1,2.84e-112,0.703
Pgk1,6.30e-112,0.702
Txn1,7.05e-112,0.702
Prtn3,2.95e-111,0.702
Gm8186,6.32e-111,0.703
Samsn1,1.03e-110,0.701
Rpl13a-ps1,1.03e-109,0.702
Tmem256,6.31e-108,0.699
Ndufb7,1.96e-107,0.698
Tomm20,2.09e-107,0.698
Atp5g2,2.71e-107,0.698
Rps2,4.14e-107,0.698
Psme2,6.11e-107,0.697
Tmed2,9.76e-107,0.698
Ndufb6,1.63e-106,0.699
Hdgf,1.88e-106,0.697
Higd1a,2.48e-106,0.698
Banf1,6.09e-106,0.698
Sap18,6.98e-106,0.698
Etfb,8.16e-106,0.696
Tgfbi,1.09e-105,0.698
Ywhae,2.71e-105,0.696
Chchd1,3.41e-103,0.695
Uchl3,2.16e-102,0.695
Rpl8,2.32e-102,0.693
Rpl36,2.42e-102,0.693
Ost4,2.68e-102,0.693
Snrpa1,6.99e-101,0.693
Nudc,8.11e-101,0.692
Sf3b6,1.34e-100,0.692
Eif1a,2.86e-100,0.693
Usp50, 3.09e-99,0.692
Cox7b, 8.00e-99,0.689
Serpinb1a, 1.77e-98,0.689
Ostc, 1.99e-98,0.689
Ndufa5, 1.12e-97,0.688
Atp5h, 7.14e-97,0.688
1810022K09Rik, 7.89e-97,0.689
Uchl5, 1.69e-96,0.689
Rpl31, 6.91e-96,0.687
Hnrnpu, 8.90e-96,0.687
Fxyd5, 2.35e-95,0.687
Ndufa11, 2.58e-95,0.688
Dkc1, 3.40e-95,0.688
Gspt1, 4.34e-95,0.688
Hspa9, 1.65e-94,0.687
Eif3i, 5.86e-94,0.685
Cox8a, 2.14e-93,0.685
Bax, 2.24e-93,0.686
Galk1, 2.60e-93,0.686
Fkbp4, 1.50e-92,0.685
Ebna1bp2, 5.06e-92,0.685
Hspa5, 9.08e-92,0.684
Sdf2l1, 9.12e-92,0.684
Abracl, 1.13e-91,0.683
Nop16, 2.20e-91,0.684
Tuba1b, 2.83e-91,0.682
Polr2f, 3.02e-91,0.684
Gar1, 3.20e-91,0.684
Ndufa4, 4.20e-91,0.682
Fth1, 4.34e-91,0.682
Rexo2, 7.44e-91,0.683
Tmem147, 9.37e-91,0.683
Nap1l1, 1.19e-90,0.681
Eif3b, 2.15e-90,0.683
mt-Nd3, 2.22e-90,0.682
Phb2, 2.63e-90,0.681
2410015M20Rik, 8.27e-90,0.681
Arpc1b, 1.09e-89,0.681
Mrpl33, 1.32e-89,0.681
Erp29, 3.20e-89,0.680
Ndufaf4, 4.01e-88,0.681
